efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Räihä","Mirja","S","Stockholms kommun","1959","","14","härledd 1970→1984","48","48","spann-summa, pågående=2025","Läroverket, Kemi 70–75, gymnasieskola i Kemi 75–76 och vårdlinjen, Märsta gymnasium 82–84.","Fabriksarbeterska, Marabou 76–80. Sjukvårdsbiträde 81–84 och undersköterska 84–, Stockholms läns landsting/Region Stockholm."
"Strandhäll","Annika","S","Stockholms kommun","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Thand Ringqvist","Elisabeth","C","Stockholms kommun","1972","","25","härledd 1993→2018","30","30","spann-summa, pågående=2025","Civilekonom, Handelshögskolan, Stockholm, slutår 96. Studier i ryska språket, S:t Petersburg 93. Ekonomistudier, Stanford universitetet, Palo Alto 18.","Egenföretagare, KIT Camping Östersund 92–94. Konsult, JKL 96–97 och McKinsey & Co 97–05. Kanslichef, Centerpartiet, 05–06. Politisk sakkunnig, Näringsdepartementet, 06-10. VD, Företagarna 11–15. Grundare och VD, Marsnen AB 15–. Partner, NFT Ventures 16–19. Grundare och partner, E14 Invest 17–. Grundare och ordförande, Vaccine Forward 20–23."
"Vencu Öhrlund Castro","Daniel","S","Stockholms kommun","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Vepsä","Mattias","S","Stockholms kommun","1980","","15","härledd 2001→2016","19","21","spann-summa, pågående=2025; 1 politiskt segment borträknat","Gymnasieskola, Laholm, slutår 01. Allmän kurs folkhögskola, Biskops-Arnö, slutår 14. Kurser kulturgeografi, Stockholms universitet, 16.","Kock 21, ombudsman 22. Politisk sekreterare S, Eskilstuna kommun, 03–05. Förbundssekreterare, SSU 05–11. Rådgivare ABF och kommunikationschef 12–."
"Vinge","Henrik","SD","Stockholms kommun","1988","","","Utbildning saknas","","","Anställningar saknas","",""
"Westerlund","Ulrika","MP","Stockholms kommun","1972","fotografutbildning; Fil.kand.; mastersexamen","28","härledd 1991→2019","25","25","spann-summa, pågående=2025","Samhällsvetenskaplig linje, Botvidsgymnasiet, Botkyrka, slutår 91. Kulturama fotografutbildning, Stockholm 93. Poppius journalistskola, Stockholm 01. Fil.kand., etnologi, Stockholms universitet 16. Teologie mastersexamen, huvudområde mänskliga rättigheter, Uppsala universitet 19.","Chefredaktör, Tidskriften Bang, 00–04 Projektledare, Forum för levande historia 04–06. Utredningssekreterare, kommittén för samordning av Mångkulturåret 06–07. Egenföretagare som bl.a. redaktör, utredare, skribent, konsult 07–. Delprojektledare, Zebraprojektet, Sveriges radios förvaltningsbolag 09–10. Politiskt sakkunnig, RFSU, 19–20. Projektledare/uppdragsansvarig, MUCF 20–22."
"Westmont","Martin","SD","Stockholms kommun","1978","Fredrika","4","härledd 1997→2001","","","Anställningar saknas","Gymnasieskola, ekonomi & administration, Fredrika Bremergymnasiet, slutår 97. Universitetsstudier, konstvetenskap och statsvetenskap, Stockholms universitet 01.",""
"Widding","Elsa","-","Stockholms kommun","1968","Singapore","18","härledd 1987→2005","19","19","spann-summa","Gymnasium, naturvetenskaplig linje, Göteborg, slutår 87. Studier vid Chalmers tekniska högskola, Göteborg, slutår 94 och INSEAD Business School, Fontainebleau och Singapore 05.","Statkraft SF, Norge 96–99. Vattenfall AB 05–06. Bure Equity och Retrea 07–10 Regeringskansliet 10–14. Fortum 14–22. Elsa Widding AB."
"Ygeman","Anders","S","Stockholms kommun","1970","","","inga årtal","","","inga daterade spann","Gymnasieskola. Universitetsstudier.","Försäljare, Konsum. Projektanställd, LO. Ordförande, Stockholms universitets förvaltningsutskott."
"Ådahl","Martin","C","Stockholms kommun","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Akhondi","Alireza","C","Stockholms län","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Andersson","Magdalena","S","Stockholms län","1967","Forskarutbildning; inriktning","3","härledd 1992→1995","15","17","spann-summa; 1 politiskt segment borträknat","Civilekonom, Handelshögskolan Stockholm, examen 92. Forskarutbildning, inriktning nationalekonomi (ej avslutad), Handelshögskolan Stockholm 92–95. Institute for Advanced Studies, Wien 94. Harvard University 95.","Lärare, Handelshögskolan 94. Politiskt sakkunnig, Statsrådsberedningen 96–98 och planeringschef 98–04. Statssekreterare, Finansdepartementet 04–06. Inrikespolitisk rådgivare till partiordföranden, socialdemokratiska riksdagsgruppen 07–09. Överdirektör, Skatteverket 09–12. Ekonomisk-politisk talesperson, Socialdemokraterna 12–14."
