efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Johansson","Martina","C","Södermanlands län","1975","","9","härledd 1991→2000","20","23","spann-summa; 1 politiskt segment borträknat","Grundskola, Hagaskolan, Alvesta, slutår 91. Gymnasieskola, Vårdgymnasiet, Växjö 91–93. Komvux, Domarhagsskolan, Avesta 96–97. Sociala omsorgsprogrammet, Eskilstuna 97–00.","Ombudsman, Centerparties ungdomsförbundDalarna 93–96. Hemtjänstchef, Trosa Kommun 2000–2002. Verksamhetschef hemtjänst, Attendo Care AB 03–06. Verksamhetschef Hemtjänst, HSB Omsorg AB 06–08. Kvalitetsutvecklare, HSB Omsorg AB 08–09. Säljare, utbildare, konsult, Avista Time AB 09–15."
"Johnsson Fornarve","Lotta","V","Södermanlands län","1956","vuxenutbildning.; Fritidspedagogutbildning; Folkhögskolelärarutbildning; Linköpings; Fil.kand.","","inga årtal","18","18","spann-summa","Grundskola, kommunal vuxenutbildning. Gymnasieskola. Fritidspedagogutbildning, Lärarhögskolan, Stockholm. Folkhögskolelärarutbildning, Linköpings universitet. Fil.kand., socialantropologi, Linköpings universitet.","ISAK, Isolera Sydafrika Kommittén, internationell sekreterare 76–94. Sfi-lärare, Norrköpings kommun och Nyköpings kommun –14."
"Lakso","Linus","MP","Södermanlands län","1983","","","Utbildning saknas","","","Anställningar saknas","",""
"Lifvenhage","Ann-Sofie","M","Södermanlands län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Marttinen","Adam","SD","Södermanlands län","1983","","","Utbildning saknas","","","Anställningar saknas","",""
"Olovsson","Fredrik","S","Södermanlands län","1973","","","Utbildning saknas","","","Anställningar saknas","",""
"Ahlstedt","Fredrik","M","Uppsala län","1968","Enköping; utbildningar; certifieringar","25","härledd 1987→2012","33","33","spann-summa","Gymnasieskola, samhällsvetenskaplig linje, Westerlundska gymnasiet, Enköping, slutår 87. Studier på samhällsvetarprogrammet, Uppsala universitet 92–95. IT-utbildningar med certifieringar under perioden 89–12.","Chefsbefattningar och vd, WM-Data AB 89–12. Kommunalråd, Enköpings kommun 99–02. Kommunalråd, Uppsala kommun 12–22."
"Deremar","Catarina","C","Uppsala län","1965","","","ett årtal (studietid ej härledbar)","26","26","spann-summa","Gymnasieskola, Tierp, slutår 83.","Kokerska, Kungsgärdets sjukhus, Uppsala 83–85. Kokerska, husmor, konferensansvarig Wiks folkhögskola. Kock, Nordbanken Uppsala. Föreståndarassistent, Juvel personalrestauranger, Kvarnholmen. Chef, Brukshotellet, Erasteel Kloster AB, Söderfors 93–03. Oppositionsråd, Tierps kommun 03–17."
"Kumpula","Kent","SD","Uppsala län","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Lantz","Gustaf","S","Uppsala län","1981","","","Utbildning saknas","","","Anställningar saknas","",""
"Lennström","Sanne","S","Uppsala län","1988","Lärarutbildning; Fil. kand.","","ett årtal (studietid ej härledbar)","","","Anställningar saknas","Lärarutbildning i samhällskunskap och historia, Uppsala universitet, slutår 12. Fil. kand., statsvetenskap, Uppsala universitet.",""
"Nordquist","Lina","L","Uppsala län","1977","apotekarexamen; doktorsexamen","15","härledd 1996→2011","16","16","spann-summa","Gymnasieskola, naturvetenskaplig linje, slutår 96. Företagsekonomi A 00, juridisk översiktskurs 00, apotekarexamen 01, doktorsexamen i fysiologi 07, docent i fysiologi vid Uppsala universitet 11.","Apoteket AB 01. Doktorand, Uppsala universitet 02–07. Forskare och universitetslärare, Uppsala universitet 07–13. Stipendiat och gästforskare, Georgetown University, USA i omgångar 05–10. Postdoktor, Hokkaido University, Japan 08. Landstingsråd/regionråd, Uppsala 13–18."
"Olsson","Stefan","M","Uppsala län","1968","Fil.kand.; fil.mag.; fil.dr","8","härledd 1992→2000","31","31","spann-summa, pågående=2025","Fil.kand. 92, fil.mag. 94 och fil.dr i statskunskap, Uppsala universitet 00.","Doktorand 94–00. Forskare, Institutet för framtidsstudier 00–02 och Uppsala universitet 00–06. Säkerhetspolitisk analytiker, Totalförsvarets forskningsinstitut 06–12. Chef, Tankesmedjan Frivärld 12–15. Frilansskribent 15–."
"Oscarsson","Mikael","KD","Uppsala län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Perez","David","SD","Uppsala län","1990","Skandinaviska; Madrid; Groningen; Fil.kand.","3","härledd 2008→2011","","3","spann-summa; 1 politiskt segment borträknat","Skandinaviska skolan i Madrid, slutår 08. Rijksuniversiteit Groningen, Nederländerna, Erasmus 11. Fil.kand. företagsekonomi, Uppsala universitet.","Konsult/it-support, SEB 14. Politisk sekreterare, Uppsala kommun, 15–18."
